Start Date & Time,End Date & Time,Time elapsed ,Min Len,Max Len,Goal,Model Used,Dataset Type,Task,# Non-Proro detected,# Proro detected,Total ROIs,# False Proro,# False Non-Proro,#Unlabeled
03/20/2017 01:00:00,03/20/2017 15:30:59,1hour 30 min,0.03,0.07,1,AlexNet_d3_proro,Test,Classification,2445,493,2938,10,0,
03/27/2017 13:00:00,03/27/2017 13:30:00,1hour 30 min,0.03,0.07,1,AlexNet_d3_proro,Test,Classification,1422,755,2177,75,17,1448
04/10/2017 13:00:00,04/10/2017 13:30:00,1hour 30 min,0.03,0.07,1,AlexNet_d3_proro,Test,Classification,3124,1572,4696,102,,
2017-01-02 9:00:00,2017-01-02 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-01-09 9:00:00,2017-01-09 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,2188,102,2290,,,
2017-01-16 9:00:00,2017-01-16 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,29,1,30,,,
2017-01-23 9:00:00,2017-01-23 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-01-30 9:00:00,2017-01-30 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,5104,333,5437,,,
2017-02-06 9:00:00,2017-02-06 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,1842,126,1968,,,
2017-02-13 9:00:00,2017-02-13 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,4622,162,4784,,,
2017-02-20 9:00:00,2017-02-20 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,2950,49,2999,,,
2017-02-27 9:00:00,2017-02-27 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,164,4,168,,,
2017-03-06 9:00:00,2017-03-06 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,6428,97,6525,,,
2017-03-13 9:00:00,2017-03-13 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,1353,165,1518,,,
2017-03-20 9:00:00,2017-03-20 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,231,26,257,,,
2017-03-27 9:00:00,2017-03-27 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,9868,4563,14431,,,
2017-04-03 9:00:00,2017-04-03 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,4031,1331,5362,,,
2017-04-10 9:00:00,2017-04-10 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,13477,6323,19800,,,
2017-04-17 9:00:00,2017-04-17 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,405,58,463,,,
2017-04-24 9:00:00,2017-04-24 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,4851,880,5731,,,
2017-05-01 9:00:00,2017-05-01 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-05-08 9:00:00,2017-05-08 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-05-15 9:00:00,2017-05-15 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-05-22 9:00:00,2017-05-22 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-05-29 9:00:00,2017-05-29 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-06-05 9:00:00,2017-06-05 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,2377,65,2442,,,
2017-06-12 9:00:00,2017-06-12 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,3498,83,3581,,,
2017-06-19 9:00:00,2017-06-19 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,1857,88,1945,,,
2017-06-26 9:00:00,2017-06-26 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,3292,57,3349,,,
2017-07-03 9:00:00,2017-07-03 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,2120,149,2269,,,
2017-07-10 9:00:00,2017-07-10 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,1075,30,1105,,,
2017-07-17 9:00:00,2017-07-17 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,789,20,809,,,
2017-07-24 9:00:00,2017-07-24 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,935,19,954,,,
2017-07-31 9:00:00,2017-07-31 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,,,,,,
2017-08-07 9:00:00,2017-08-07 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,1068,26,1094,,,
2017-08-14 9:00:00,2017-08-14 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,893,59,952,,,
2017-08-21 9:00:00,2017-08-21 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,2582,40,2622,,,
2017-08-28 9:00:00,2017-08-28 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,4352,32,4384,,,
2017-09-05 9:00:00,2017-09-05 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,2878,35,2913,,,
2017-09-11 9:00:00,2017-09-11 12:00:00,3 hours,0.03,0.07,2,AlexNet_d3_proro,Test,,1282,37,1319,,,
