"Sample ID

YYYYMMDD","Date

mm/dd/yy",Cell Count Detection Limit (Cells/L),Volume Counted (mL),Prorocentrum compressum (Cells/L),Prorocentrum gracile (Cells/L),Prorocentrum micans (Cells/L),Unknown Prorocentrum spp. (Cells/L),Total Prorocentrum spp. (Cells/L),Total Phytoplankton (Cells/L)
20170320,3/20/2017,410,2.68,0,1641,9846,0,11487,68103
20170327,3/27/2017,626,1.76,0,18774,127038,626,146438,197130
20170403,4/3/2017,626,1.76,0,14393,145186,0,159579,372352
20170410,4/10/2017,626,1.76,0,50690,165212,0,215902,451831
20170417,4/17/2017,626,1.76,0,59451,95748,0,155199,747210
20170424,4/24/2017,626,1.76,0,5632,46309,0,51941,279111
20170501,5/1/2017,410,2.68,0,20102,11897,410,32409,296611
20170508,5/8/2017,626,1.76,0,6884,2503,0,9387,173974
20170515,5/15/2017,410,2.68,0,29948,4103,0,34051,235485
20170522,5/22/2017,626,1.76,0,21277,6258,0,27535,281613
20170529,5/29/2017,1480,0.74,0,7402,0,0,7402,1350083
20170605,6/5/2017,410,2.68,0,1641,0,410,2051,119797
20170612,6/12/2017,410,2.68,0,2872,410,821,4103,137845
20170619,6/19/2017,136,8.09,0,136,1495,3398,5029,76801
20170626,6/26/2017,136,8.09,136,0,408,1631,2175,90805
20170703,7/3/2017,626,1.76,0,0,4381,36297,40678,292878
20170710,7/10/2017,626,1.76,0,1252,0,0,1252,292251
20170717,7/17/2017,136,8.09,0,0,272,1767,2039,254737
20170724,7/24/2017,136,8.09,0,0,0,4350,4350,71639
20170731,7/31/2017,626,1.76,626,0,626,6258,7510,1110174
20170807,8/7/2017,136,8.09,0,0,6253,10467,16720,304353
20170814,8/14/2017,136,8.09,0,136,1087,19166,20389,128187
20170821,8/21/2017,626,1.76,0,0,0,8761,8761,1053851
20170828,8/28/2017,322,3.42,322,322,1286,1286,3216,903237
20170905,9/5/2017,136,8.09,0,0,816,2447,3263,382514
20170911,9/11/2017,136,8.09,0,0,408,3942,4350,48394
20170918,9/18/2017,136,8.09,136,0,816,1903,2855,53151
20170925,9/25/2017,136,8.09,136,408,1903,2990,5437,61443
20171002,10/2/2017,136,8.09,136,0,0,1223,1359,53968
20171009,10/9/2017,136,8.09,0,136,136,3398,3670,78977
20171016,10/16/2017,136,8.09,0,816,544,1903,3263,46489
20171023,10/23/2017,410,2.68,0,2462,2462,13538,18462,137027
20171030,10/30/2017,136,8.09,0,136,680,1495,2311,52063
20171106,11/6/2017,410,2.68,0,1641,1231,16000,18872,208411
20171113,11/13/2017,626,1.76,0,1877,626,5006,7509,163333
20171120,11/20/2017,626,1.76,1252,1252,1252,6258,10014,234051
20171127,11/27/2017,626,1.76,0,1877,626,5006,7509,225290
20171204,12/4/2017,136,8.09,0,136,272,272,680,55734
20171211,12/11/2017,89,12.34,0,267,0,178,445,18443
20171218,12/18/2017,89,12.34,178,267,178,178,801,23255
20171223,12/23/2017,136,8.09,136,136,408,408,1088,64161
