X 2017-01-02 09:00:00, 2017-01-02 12:00:00, 0.03, 0.07, SPCP2
2017-01-09 09:00:00, 2017-01-09 12:00:00, 0.03, 0.07, SPCP2
2017-01-16 09:00:00, 2017-01-16 12:00:00, 0.03, 0.07, SPCP2
X 2017-01-23 09:00:00, 2017-01-23 12:00:00, 0.03, 0.07, SPCP2
2017-01-30 09:00:00, 2017-01-30 12:00:00, 0.03, 0.07, SPCP2
2017-02-06 09:00:00, 2017-02-06 12:00:00, 0.03, 0.07, SPCP2
2017-02-13 09:00:00, 2017-02-13 12:00:00, 0.03, 0.07, SPCP2
2017-02-20 09:00:00, 2017-02-20 12:00:00, 0.03, 0.07, SPCP2
2017-02-27 09:00:00, 2017-02-27 12:00:00, 0.03, 0.07, SPCP2
2017-03-06 09:00:00, 2017-03-06 12:00:00, 0.03, 0.07, SPCP2
2017-03-13 09:00:00, 2017-03-13 12:00:00, 0.03, 0.07, SPCP2
2017-03-20 09:00:00, 2017-03-20 12:00:00, 0.03, 0.07, SPCP2
2017-03-27 09:00:00, 2017-03-27 12:00:00, 0.03, 0.07, SPCP2
2017-04-03 09:00:00, 2017-04-03 12:00:00, 0.03, 0.07, SPCP2
2017-04-10 09:00:00, 2017-04-10 12:00:00, 0.03, 0.07, SPCP2
2017-04-17 09:00:00, 2017-04-17 12:00:00, 0.03, 0.07, SPCP2
2017-04-24 09:00:00, 2017-04-24 12:00:00, 0.03, 0.07, SPCP2
X 2017-05-01 09:00:00, 2017-05-01 12:00:00, 0.03, 0.07, SPCP2
X 2017-05-08 09:00:00, 2017-05-08 12:00:00, 0.03, 0.07, SPCP2
X 2017-05-15 09:00:00, 2017-05-15 12:00:00, 0.03, 0.07, SPCP2
X 2017-05-22 09:00:00, 2017-05-22 12:00:00, 0.03, 0.07, SPCP2
X 2017-05-29 09:00:00, 2017-05-29 12:00:00, 0.03, 0.07, SPCP2
2017-06-05 09:00:00, 2017-06-05 12:00:00, 0.03, 0.07, SPCP2
2017-06-12 09:00:00, 2017-06-12 12:00:00, 0.03, 0.07, SPCP2
2017-06-19 09:00:00, 2017-06-19 12:00:00, 0.03, 0.07, SPCP2
2017-06-26 09:00:00, 2017-06-26 12:00:00, 0.03, 0.07, SPCP2
2017-07-03 09:00:00, 2017-07-03 12:00:00, 0.03, 0.07, SPCP2
2017-07-10 09:00:00, 2017-07-10 12:00:00, 0.03, 0.07, SPCP2
2017-07-17 09:00:00, 2017-07-17 12:00:00, 0.03, 0.07, SPCP2
2017-07-24 09:00:00, 2017-07-24 12:00:00, 0.03, 0.07, SPCP2
X 2017-07-31 09:00:00, 2017-07-31 12:00:00, 0.03, 0.07, SPCP2
2017-08-07 09:00:00, 2017-08-07 12:00:00, 0.03, 0.07, SPCP2
2017-08-14 09:00:00, 2017-08-14 12:00:00, 0.03, 0.07, SPCP2
2017-08-21 09:00:00, 2017-08-21 12:00:00, 0.03, 0.07, SPCP2
2017-08-28 09:00:00, 2017-08-28 12:00:00, 0.03, 0.07, SPCP2
2017-09-05 09:00:00, 2017-09-05 12:00:00, 0.03, 0.07, SPCP2
2017-09-11 09:00:00, 2017-09-11 12:00:00, 0.03, 0.07, SPCP2
2017-09-18 09:00:00, 2017-09-18 12:00:00, 0.03, 0.07, SPCP2
2017-09-25 09:00:00, 2017-09-25 12:00:00, 0.03, 0.07, SPCP2
2017-10-02 09:00:00, 2017-10-02 12:00:00, 0.03, 0.07, SPCP2
2017-10-09 09:00:00, 2017-10-09 12:00:00, 0.03, 0.07, SPCP2
2017-10-16 09:00:00, 2017-10-16 12:00:00, 0.03, 0.07, SPCP2
2017-10-23 09:00:00, 2017-10-23 12:00:00, 0.03, 0.07, SPCP2
2017-10-30 09:00:00, 2017-10-30 12:00:00, 0.03, 0.07, SPCP2
2017-11-06 09:00:00, 2017-11-06 12:00:00, 0.03, 0.07, SPCP2
2017-11-13 09:00:00, 2017-11-13 12:00:00, 0.03, 0.07, SPCP2
2017-11-20 09:00:00, 2017-11-20 12:00:00, 0.03, 0.07, SPCP2
2017-11-27 09:00:00, 2017-11-27 12:00:00, 0.03, 0.07, SPCP2
2017-12-04 09:00:00, 2017-12-04 12:00:00, 0.03, 0.07, SPCP2
X 2017-12-11 09:00:00, 2017-12-11 12:00:00, 0.03, 0.07, SPCP2
X 2017-12-18 09:00:00, 2017-12-18 12:00:00, 0.03, 0.07, SPCP2
2017-12-23 09:00:00, 2017-12-23 12:00:00, 0.03, 0.07, SPCP2
